condpair	protein	fdr	pval	log2fc	num_peptides
c2_VS_c3	O75691	0.9999691194851201	0.8315663689720365	-0.1879452007381932	17
c2_VS_c3	Q86XL3	0.9999691194851201	0.19000325314541033	-0.1301043551732861	8
c2_VS_c3	Q15276	0.9999691194851201	0.6647409829854243	0.12959497848944945	9
c2_VS_c3	Q6RFH5	0.9999691194851201	0.9211907563685551	0.08680846088387373	6
c2_VS_c3	Q7L775	0.9999691194851201	0.805806136009078	-0.08706276643648449	6
c2_VS_c3	P47897	0.9999691194851201	0.38945745667129916	0.0005895392406660704	23
c2_VS_c3	Q9Y262	0.9999691194851201	0.27702943995142904	0.17213620905439697	17
c2_VS_c3	Q13330	0.5385882263947144	0.03279227208676305	-0.12767174527865333	12
c2_VS_c3	P26358	0.9999691194851201	0.5376141629129905	-0.041701003963444006	22
c2_VS_c3	P36776	0.9999691194851201	0.99843223579386	-0.1422984891591188	18
c2_VS_c3	P61081	0.9999691194851201	0.5189578769681265	-0.2814665395026785	6
c2_VS_c3	Q6PKG0	0.9999691194851201	0.781971892512257	0.05693797275096024	17
c2_VS_c3	Q709F0	0.8493386243254499	0.09378538522250213	0.19046216095928337	7
c2_VS_c3	Q16594	0.9999691194851201	0.6712559862224865	0.07626789707077213	4
c2_VS_c3	P07259	1.9255708139098716e-13	0.0	0.8358381910467392	39
c2_VS_c3	O15118	0.9999691194851201	0.9336203207501454	-0.04744636357953036	2
c2_VS_c3	Q15020	0.9999691194851201	0.5407503006665559	-0.22602541646446744	16
c2_VS_c3	P29401	0.8713113207570153	0.10121121175605086	0.21621746632347838	16
c2_VS_c3	Q13838	0.9999691194851201	0.49609611930913355	-0.12752528562477927	15
c2_VS_c3	Q16222	0.9999691194851201	0.3323404174049158	-0.31285246472079997	9
c2_VS_c3	P46777	0.9999691194851201	0.5644263623452779	-0.0902335324161525	9
c2_VS_c3	Q5T8P6	0.9999691194851201	0.43213877646896437	-0.359004604831983	9
c2_VS_c3	Q92747	0.9999691194851201	0.44960060659313594	-0.020217787557239575	9
c2_VS_c3	P16120	0.33414014497515254	0.01623436128723066	0.05505055938134914	7
c2_VS_c3	Q02978	0.9999691194851201	0.9365463051541612	-0.07796691679630285	7
c2_VS_c3	Q9Y4C2	0.9999691194851201	0.23299847406066299	-0.1632580185132353	13
c2_VS_c3	Q9NTK5	0.9999691194851201	0.686336263344641	-0.08343317258242422	13
c2_VS_c3	Q9NTG7	0.9999691194851201	0.7243862193195894	-0.014954409077368197	2
c2_VS_c3	Q969X6	0.9999691194851201	0.23110251078941246	-0.15212129858969847	10
c2_VS_c3	P40825	6.055318468867199e-10	2.23443485936059e-12	0.4142439686007666	15
c2_VS_c3	O43505	0.9999691194851201	0.5394679355274268	0.0377448617496321	2
c2_VS_c3	Q9UHD8	0.9999691194851201	0.9315893038292118	0.13498506609353247	27
c2_VS_c3	P04802	1.5471430297817153e-08	6.898392967968903e-11	0.5503816152494707	10
c2_VS_c3	P11498	0.9999691194851201	0.18497946393322096	-0.2208010621919705	19
c2_VS_c3	Q9UQC2	0.9999691194851201	0.9534255391786555	-0.14877059337973542	7
c2_VS_c3	P14550	0.9999691194851201	0.662463493656325	0.0374017107554927	10
c2_VS_c3	Q66K74	0.9999691194851201	0.1862413659754396	-0.015057552068309832	9
c2_VS_c3	Q9ULH7	0.9999691194851201	0.6446080253430595	-0.16064430959388032	6
c2_VS_c3	P49454	0.9999691194851201	0.2543780218670608	0.036526662291308146	40
c2_VS_c3	Q9Y6C2	0.9999691194851201	0.40052863753353485	0.2916505055531881	9
c2_VS_c3	Q9UBC2	0.9999691194851201	0.6710616333793875	-0.2514193181280066	13
c2_VS_c3	Q8N3V7	0.9999691194851201	0.7160750398646216	-0.16939179280252858	15
c2_VS_c3	Q8IX12	0.9999691194851201	0.5058778408811477	0.02884674844756674	16
c2_VS_c3	Q96TC7	0.9999691194851201	0.28941024073251453	0.5066799279730665	3
c2_VS_c3	P82979	0.9999691194851201	0.7640170216999089	-0.10397866870957984	7
c2_VS_c3	O60220	0.9999691194851201	0.49524035558279733	-0.2167509414806874	2
c2_VS_c3	Q9UET6	0.9999691194851201	0.2646025746937193	-0.02151937011251892	3
c2_VS_c3	Q9Y6M9	0.9999691194851201	0.4569528698552099	-0.23246648493381983	4
c2_VS_c3	P09440	0.4026768868564208	0.020840152665325462	0.8493659255953014	2
c2_VS_c3	Q8WXI9	0.9772834454385044	0.14805906563411053	-0.304735379538819	10
c2_VS_c3	Q92922	0.6398726803580644	0.0459134265334058	-0.16315918909621704	18
c2_VS_c3	Q9UI15	0.9999691194851201	0.6155677492337843	0.051362205782952586	5
c2_VS_c3	Q16891	0.9999691194851201	0.2052728307574343	0.06511057384431052	19
c2_VS_c3	Q01082	0.9999691194851201	0.3724952405486386	-0.18926290912581992	89
c2_VS_c3	P25491	7.359562896359269e-05	1.0183896996807107e-06	0.6839263226111347	5
c2_VS_c3	Q8WWM9	0.8946421271144901	0.11719481738953652	-0.0151519478422939	9
c2_VS_c3	P62195	0.9999691194851201	0.387089349716474	-0.09936026295919564	18
c2_VS_c3	P78371	0.9999691194851201	0.5451857545167149	-0.022195064237799933	22
c2_VS_c3	Q92576	0.9999691194851201	0.7067798492484658	-0.054054759556381615	16
c2_VS_c3	P28838	0.9999691194851201	0.28769765793291047	-0.13619305973081008	16
c2_VS_c3	O95716	0.9999691194851201	0.48547213471608375	0.1089773048279743	2
c2_VS_c3	Q13586	0.8936834295866338	0.11597873231441524	-0.3369352912097323	7
c2_VS_c3	Q99798	0.9999691194851201	0.5451610904665802	-0.09303048413914686	18
c2_VS_c3	P62495	0.9999691194851201	0.7722424021866712	0.08979238090265751	12
c2_VS_c3	Q9BUQ8	0.7805897656612499	0.06816958593105626	-0.2901210422420615	19
c2_VS_c3	Q15006	0.8846491908444183	0.11103936459265618	-0.3405204844680343	5
c2_VS_c3	P48729	0.9999691194851201	0.2925164286513495	0.10240085928713386	8
c2_VS_c3	Q13564	0.9999691194851201	0.4857560096100635	-0.25875331015592007	11
c2_VS_c3	O43852	0.9999691194851201	0.28325106857461213	-0.19717544105246532	11
c2_VS_c3	P02545	0.9999691194851201	0.7133158439921132	0.04437193297845621	33
c2_VS_c3	P50995	0.9999691194851201	0.8885991844409502	0.048505542368287635	9
c2_VS_c3	P21333	0.9999691194851201	0.9679154120718967	0.1367484951037854	76
c2_VS_c3	Q16777	0.9999691194851201	0.8133222694229372	-0.3213431145185271	2
c2_VS_c3	P07244	1.5340767077817862e-06	1.4859599106742394e-08	0.346367267887298	9
c2_VS_c3	Q92616	0.9999691194851201	0.2977977840660082	0.12756439119133312	59
c2_VS_c3	P78347	0.9999691194851201	0.22376496415828617	0.07941248995980699	30
