condpair	protein	fdr	pval	log2fc	num_peptides
c1_VS_c3	O75691	0.9998087590367624	0.9184441177639957	0.20242175200799428	14
c1_VS_c3	Q86XL3	1.0	0.998265902525276	0.4354744565032087	5
c1_VS_c3	Q15276	0.9998087590367624	0.6607130123222844	-0.28156041051280994	6
c1_VS_c3	Q6RFH5	0.9998087590367624	0.9781163584851815	0.4147834344343426	5
c1_VS_c3	Q7L775	0.9998087590367624	0.7127188855928401	0.20989778704785272	6
c1_VS_c3	P47897	0.5333667462868967	0.04861303624005431	-0.06723670270957764	23
c1_VS_c3	Q9Y262	0.9998087590367624	0.3681426737583675	0.012471548217817782	17
c1_VS_c3	Q13330	0.9998087590367624	0.8251744860700012	0.13471445527670695	12
c1_VS_c3	Q7Z5J4	0.9998087590367624	0.568090706925829	0.05295478054654519	10
c1_VS_c3	P26358	0.9998087590367624	0.8344467257404238	-0.08528309339539823	24
c1_VS_c3	Q12972	0.9998087590367624	0.6833145591586594	-0.15710229603031056	8
c1_VS_c3	P36776	0.9998087590367624	0.8098287794750048	0.12959784604296304	20
c1_VS_c3	P61081	0.9998087590367624	0.5031233903070831	0.031095828760509057	4
c1_VS_c3	O60568	0.9998087590367624	0.7596569835183316	0.06778395154300092	15
c1_VS_c3	Q6PKG0	0.9998087590367624	0.13518750432560145	0.06407236708939894	15
c1_VS_c3	Q709F0	0.9998087590367624	0.17851330045919944	-0.1566842281801152	6
c1_VS_c3	Q16594	0.9998087590367624	0.9732257639501098	0.3703197219964765	3
c1_VS_c3	P07259	1.0924242110557692e-14	0.0	1.5502246494982639	42
c1_VS_c3	Q15020	0.9998087590367624	0.29710433014863	0.12828488988045747	16
c1_VS_c3	P29401	0.9998087590367624	0.2657209736965376	0.13497991243429164	16
c1_VS_c3	Q13838	0.9998087590367624	0.9384507589650295	0.18265642314132374	14
c1_VS_c3	Q16222	0.9998087590367624	0.9728282676907642	-0.10491375568458242	10
c1_VS_c3	P46777	0.9998087590367624	0.14716287733653433	0.24073422079520235	9
c1_VS_c3	Q5T8P6	0.9998087590367624	0.23913090431286976	0.11678290255900296	9
c1_VS_c3	Q92747	0.9998087590367624	0.6847189503995652	-0.3383647145787131	8
c1_VS_c3	P16120	1.0924242110557692e-14	0.0	1.6097311186403942	8
c1_VS_c3	Q02978	0.9998087590367624	0.6078977905221439	-0.21909912143232013	8
c1_VS_c3	Q9Y4C2	0.9215228233787877	0.11434606841470552	-0.01778237301664673	12
c1_VS_c3	Q9NTK5	0.9998087590367624	0.42400304623370233	-0.32173494780194584	13
c1_VS_c3	Q9NTG7	0.9998087590367624	0.8969070964835104	-0.01659516442079445	2
c1_VS_c3	P40825	1.0924242110557692e-14	0.0	2.0540727471404274	14
c1_VS_c3	O43505	0.9998087590367624	0.6919899530699172	0.0900492621366314	2
c1_VS_c3	Q9UHD8	0.9998087590367624	0.6264096133337529	0.17445810403798934	22
c1_VS_c3	P04802	1.0924242110557692e-14	0.0	1.6683550373669367	10
c1_VS_c3	P11498	0.9998087590367624	0.24215703648557696	0.16033801144701637	18
c1_VS_c3	Q9UQC2	0.9998087590367624	0.5151441613778402	-0.05016696130832887	7
c1_VS_c3	P14550	0.0515959060087461	0.0034874471072212643	0.010092043697967382	10
c1_VS_c3	Q66K74	0.9998087590367624	0.35627448281514473	0.2554411364931776	9
c1_VS_c3	Q9ULH7	0.9998087590367624	0.9378840141420648	-0.11200571161906225	6
c1_VS_c3	P49454	0.9998087590367624	0.6849982947485165	-0.0436677153070503	32
c1_VS_c3	Q9Y6C2	0.4732267631203175	0.040917816588561085	0.2269502889227013	8
c1_VS_c3	Q9UBC2	0.9998087590367624	0.29011169175323936	0.2558161073882186	11
